2026-04-14 20:20:06.757 | INFO     | __main__:test_llm:8 - Sending prompt to LLM: What is the capital of France?
2026-04-16 13:47:31.667 | ERROR    | __main__:<module>:198 - {'event': 'agent_execution_failed', 'error': '2 validation errors for SystemMessage\ncontent.str\n  Input should be a valid string [type=string_type, input_value=<function research_nod_sy...t at 0x000001B349C9CA40>, input_type=function]\n    For further information visit https://errors.pydantic.dev/2.13/v/string_type\ncontent.list[union[str,dict[any,any]]]\n  Input should be a valid list [type=list_type, input_value=<function research_nod_sy...t at 0x000001B349C9CA40>, input_type=function]\n    For further information visit https://errors.pydantic.dev/2.13/v/list_type'}
2026-04-16 13:47:31.673 | ERROR    | __main__:<module>:202 - Traceback (most recent call last):
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 190, in <module>
    result = research_agent.invoke({"topic": topic})
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 3309, in invoke
    for chunk in self.stream(
                 ~~~~~~~~~~~^
        input,
        ^^^^^^
    ...<10 lines>...
        **kwargs,
        ^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 2736, in stream
    for _ in runner.tick(
             ~~~~~~~~~~~^
        [t for t in loop.tasks.values() if not t.writes],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        schedule_task=loop.accept_push,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_runner.py", line 167, in tick
    run_with_retry(
    ~~~~~~~~~~~~~~^
        t,
        ^^
    ...<10 lines>...
        },
        ^^
    )
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_retry.py", line 126, in run_with_retry
    return task.proc.invoke(task.input, config)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 656, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 400, in invoke
    ret = self.func(*args, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 134, in research_node
    SystemMessage ( content=research_nod_system_prompt),
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\messages\system.py", line 60, in __init__
    super().__init__(content=content, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\messages\base.py", line 179, in __init__
    super().__init__(content=content, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\load\serializable.py", line 118, in __init__
    super().__init__(*args, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\pydantic\main.py", line 263, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 2 validation errors for SystemMessage
content.str
  Input should be a valid string [type=string_type, input_value=<function research_nod_sy...t at 0x000001B349C9CA40>, input_type=function]
    For further information visit https://errors.pydantic.dev/2.13/v/string_type
content.list[union[str,dict[any,any]]]
  Input should be a valid list [type=list_type, input_value=<function research_nod_sy...t at 0x000001B349C9CA40>, input_type=function]
    For further information visit https://errors.pydantic.dev/2.13/v/list_type
During task with name 'research' and id 'c723149c-555d-7911-f7ae-54187f7aab4c'

2026-04-16 13:47:43.786 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 13:47:44.824 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 13:47:44.984 | INFO     | __main__:<module>:185 - {'event': 'agent_execution_started', 'topic': 'AI in data engineering'}
2026-04-16 13:47:44.988 | INFO     | __main__:router_node:59 - {'event': 'router_node_started', 'topic': 'AI in data engineering'}
2026-04-16 13:47:48.959 | INFO     | __main__:router_node:73 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'While foundational concepts of AI and data engineering are evergreen, the intersection of these fields is rapidly evolving with new tools, techniques, and applications. Research is needed to provide up-to-date examples, recent advancements, and current best practices.', 'queries': ['current applications of AI in data engineering', 'impact of large language models on data transformation and ETL', 'AI-powered tools for data quality and anomaly detection in data pipelines', 'role of machine learning in optimizing data storage and retrieval', 'emerging trends in AI for data governance and compliance', 'case studies of AI implementation in data engineering workflows', 'challenges and best practices for integrating AI into data engineering'], 'max_result_per_query': 5}}
2026-04-16 13:47:48.960 | SUCCESS  | __main__:router_node:88 - {'event': 'router_node_success', 'topic': 'AI in data engineering', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 7, 'duration_sec': 3.97}
2026-04-16 13:47:48.960 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'current applications of AI in data engineering', 'max_results': 5}
2026-04-16 13:47:51.248 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'current applications of AI in data engineering', 'results_count': 4, 'duration_sec': 2.29}
2026-04-16 13:47:51.248 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'impact of large language models on data transformation and ETL', 'max_results': 5}
2026-04-16 13:47:52.548 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'impact of large language models on data transformation and ETL', 'results_count': 4, 'duration_sec': 1.3}
2026-04-16 13:47:52.549 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'AI-powered tools for data quality and anomaly detection in data pipelines', 'max_results': 5}
2026-04-16 13:47:54.842 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'AI-powered tools for data quality and anomaly detection in data pipelines', 'results_count': 4, 'duration_sec': 2.29}
2026-04-16 13:47:54.842 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'role of machine learning in optimizing data storage and retrieval', 'max_results': 5}
2026-04-16 13:47:57.951 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'role of machine learning in optimizing data storage and retrieval', 'results_count': 4, 'duration_sec': 3.11}
2026-04-16 13:47:57.952 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'emerging trends in AI for data governance and compliance', 'max_results': 5}
2026-04-16 13:47:59.551 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'emerging trends in AI for data governance and compliance', 'results_count': 4, 'duration_sec': 1.6}
2026-04-16 13:47:59.551 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'case studies of AI implementation in data engineering workflows', 'max_results': 5}
2026-04-16 13:48:01.302 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'case studies of AI implementation in data engineering workflows', 'results_count': 4, 'duration_sec': 1.75}
2026-04-16 13:48:01.302 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'challenges and best practices for integrating AI into data engineering', 'max_results': 5}
2026-04-16 13:48:02.672 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'challenges and best practices for integrating AI into data engineering', 'results_count': 4, 'duration_sec': 1.37}
2026-04-16 13:48:02.675 | ERROR    | __main__:<module>:198 - {'event': 'agent_execution_failed', 'error': '2 validation errors for SystemMessage\ncontent.str\n  Input should be a valid string [type=string_type, input_value=<function research_nod_sy...t at 0x00000244A42FCA40>, input_type=function]\n    For further information visit https://errors.pydantic.dev/2.13/v/string_type\ncontent.list[union[str,dict[any,any]]]\n  Input should be a valid list [type=list_type, input_value=<function research_nod_sy...t at 0x00000244A42FCA40>, input_type=function]\n    For further information visit https://errors.pydantic.dev/2.13/v/list_type'}
2026-04-16 13:48:02.682 | ERROR    | __main__:<module>:202 - Traceback (most recent call last):
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 190, in <module>
    result = research_agent.invoke({"topic": topic})
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 3309, in invoke
    for chunk in self.stream(
                 ~~~~~~~~~~~^
        input,
        ^^^^^^
    ...<10 lines>...
        **kwargs,
        ^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 2736, in stream
    for _ in runner.tick(
             ~~~~~~~~~~~^
        [t for t in loop.tasks.values() if not t.writes],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        schedule_task=loop.accept_push,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_runner.py", line 167, in tick
    run_with_retry(
    ~~~~~~~~~~~~~~^
        t,
        ^^
    ...<10 lines>...
        },
        ^^
    )
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_retry.py", line 126, in run_with_retry
    return task.proc.invoke(task.input, config)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 656, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 400, in invoke
    ret = self.func(*args, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 134, in research_node
    SystemMessage ( content=research_nod_system_prompt),
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\messages\system.py", line 60, in __init__
    super().__init__(content=content, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\messages\base.py", line 179, in __init__
    super().__init__(content=content, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\load\serializable.py", line 118, in __init__
    super().__init__(*args, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\pydantic\main.py", line 263, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 2 validation errors for SystemMessage
content.str
  Input should be a valid string [type=string_type, input_value=<function research_nod_sy...t at 0x00000244A42FCA40>, input_type=function]
    For further information visit https://errors.pydantic.dev/2.13/v/string_type
content.list[union[str,dict[any,any]]]
  Input should be a valid list [type=list_type, input_value=<function research_nod_sy...t at 0x00000244A42FCA40>, input_type=function]
    For further information visit https://errors.pydantic.dev/2.13/v/list_type
During task with name 'research' and id '86b0507e-905d-3e62-132b-d6d68b2e011d'

2026-04-16 13:48:49.289 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 13:48:50.291 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 13:48:50.451 | INFO     | __main__:<module>:185 - {'event': 'agent_execution_started', 'topic': 'AI in data engineering'}
2026-04-16 13:48:50.454 | INFO     | __main__:router_node:59 - {'event': 'router_node_started', 'topic': 'AI in data engineering'}
2026-04-16 13:48:54.685 | INFO     | __main__:router_node:73 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'The field of AI in data engineering is rapidly evolving, with new tools, frameworks, and best practices emerging constantly. Research is needed to cover the latest developments, practical applications, and current trends.', 'queries': ['AI applications in data pipeline optimization', 'Machine learning techniques for data quality and governance', 'Automated data cataloging and discovery using AI', 'Latest AI-powered ETL/ELT tools and platforms', 'Impact of large language models (LLMs) on data engineering workflows', 'Predictive maintenance for data infrastructure with AI', 'Data observability and monitoring using AI/ML', 'Emerging trends in AI for modern data engineering'], 'max_result_per_query': 5}}
2026-04-16 13:48:54.686 | SUCCESS  | __main__:router_node:88 - {'event': 'router_node_success', 'topic': 'AI in data engineering', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 8, 'duration_sec': 4.23}
2026-04-16 13:48:54.687 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'AI applications in data pipeline optimization', 'max_results': 5}
2026-04-16 13:48:58.431 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'AI applications in data pipeline optimization', 'results_count': 4, 'duration_sec': 3.74}
2026-04-16 13:48:58.431 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Machine learning techniques for data quality and governance', 'max_results': 5}
2026-04-16 13:49:00.304 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Machine learning techniques for data quality and governance', 'results_count': 4, 'duration_sec': 1.87}
2026-04-16 13:49:00.305 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Automated data cataloging and discovery using AI', 'max_results': 5}
2026-04-16 13:49:01.550 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Automated data cataloging and discovery using AI', 'results_count': 4, 'duration_sec': 1.25}
2026-04-16 13:49:01.551 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Latest AI-powered ETL/ELT tools and platforms', 'max_results': 5}
2026-04-16 13:49:02.904 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Latest AI-powered ETL/ELT tools and platforms', 'results_count': 4, 'duration_sec': 1.35}
2026-04-16 13:49:02.905 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Impact of large language models (LLMs) on data engineering workflows', 'max_results': 5}
2026-04-16 13:49:07.334 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Impact of large language models (LLMs) on data engineering workflows', 'results_count': 4, 'duration_sec': 4.43}
2026-04-16 13:49:07.335 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Predictive maintenance for data infrastructure with AI', 'max_results': 5}
2026-04-16 13:49:10.760 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Predictive maintenance for data infrastructure with AI', 'results_count': 4, 'duration_sec': 3.42}
2026-04-16 13:49:10.760 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Data observability and monitoring using AI/ML', 'max_results': 5}
2026-04-16 13:49:13.636 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Data observability and monitoring using AI/ML', 'results_count': 4, 'duration_sec': 2.88}
2026-04-16 13:49:13.636 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Emerging trends in AI for modern data engineering', 'max_results': 5}
2026-04-16 13:49:14.858 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Emerging trends in AI for modern data engineering', 'results_count': 4, 'duration_sec': 1.22}
2026-04-16 13:49:14.860 | ERROR    | __main__:<module>:198 - {'event': 'agent_execution_failed', 'error': '2 validation errors for SystemMessage\ncontent.str\n  Input should be a valid string [type=string_type, input_value=<function research_nod_sy...t at 0x00000196502FC9A0>, input_type=function]\n    For further information visit https://errors.pydantic.dev/2.13/v/string_type\ncontent.list[union[str,dict[any,any]]]\n  Input should be a valid list [type=list_type, input_value=<function research_nod_sy...t at 0x00000196502FC9A0>, input_type=function]\n    For further information visit https://errors.pydantic.dev/2.13/v/list_type'}
2026-04-16 13:49:14.867 | ERROR    | __main__:<module>:202 - Traceback (most recent call last):
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 190, in <module>
    result = research_agent.invoke({"topic": topic})
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 3309, in invoke
    for chunk in self.stream(
                 ~~~~~~~~~~~^
        input,
        ^^^^^^
    ...<10 lines>...
        **kwargs,
        ^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 2736, in stream
    for _ in runner.tick(
             ~~~~~~~~~~~^
        [t for t in loop.tasks.values() if not t.writes],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        schedule_task=loop.accept_push,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_runner.py", line 167, in tick
    run_with_retry(
    ~~~~~~~~~~~~~~^
        t,
        ^^
    ...<10 lines>...
        },
        ^^
    )
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_retry.py", line 126, in run_with_retry
    return task.proc.invoke(task.input, config)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 656, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 400, in invoke
    ret = self.func(*args, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 134, in research_node
    SystemMessage ( content=research_nod_system_prompt),
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\messages\system.py", line 60, in __init__
    super().__init__(content=content, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\messages\base.py", line 179, in __init__
    super().__init__(content=content, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langchain_core\load\serializable.py", line 118, in __init__
    super().__init__(*args, **kwargs)
    ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\pydantic\main.py", line 263, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 2 validation errors for SystemMessage
content.str
  Input should be a valid string [type=string_type, input_value=<function research_nod_sy...t at 0x00000196502FC9A0>, input_type=function]
    For further information visit https://errors.pydantic.dev/2.13/v/string_type
content.list[union[str,dict[any,any]]]
  Input should be a valid list [type=list_type, input_value=<function research_nod_sy...t at 0x00000196502FC9A0>, input_type=function]
    For further information visit https://errors.pydantic.dev/2.13/v/list_type
During task with name 'research' and id '84420deb-9641-cbd1-bc6d-6acae1889fc3'

2026-04-16 13:49:27.360 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 13:49:28.387 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 13:49:28.543 | INFO     | __main__:<module>:185 - {'event': 'agent_execution_started', 'topic': 'AI in data engineering'}
2026-04-16 13:49:28.547 | INFO     | __main__:router_node:59 - {'event': 'router_node_started', 'topic': 'AI in data engineering'}
2026-04-16 13:49:32.978 | INFO     | __main__:router_node:73 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'The field of AI in data engineering is rapidly evolving, with new tools, techniques, and best practices emerging frequently. Research is needed to cover current trends, popular tools, recent advancements, and practical applications.', 'queries': ['AI applications in data pipeline automation', 'Machine learning for data quality and anomaly detection in data engineering', 'Automated data governance and metadata management with AI', 'AI-powered data cataloging and discovery tools', 'Real-time data processing and stream analytics using AI', 'Predictive analytics for data infrastructure and resource optimization', 'Emerging trends and future of AI in data engineering', 'Key challenges and best practices for implementing AI in data engineering', 'Case studies of successful AI implementations in data engineering'], 'max_result_per_query': 5}}
2026-04-16 13:49:32.979 | SUCCESS  | __main__:router_node:88 - {'event': 'router_node_success', 'topic': 'AI in data engineering', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 9, 'duration_sec': 4.43}
2026-04-16 13:49:32.980 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'AI applications in data pipeline automation', 'max_results': 5}
2026-04-16 13:49:34.392 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'AI applications in data pipeline automation', 'results_count': 4, 'duration_sec': 1.41}
2026-04-16 13:49:34.392 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Machine learning for data quality and anomaly detection in data engineering', 'max_results': 5}
2026-04-16 13:49:37.069 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Machine learning for data quality and anomaly detection in data engineering', 'results_count': 4, 'duration_sec': 2.68}
2026-04-16 13:49:37.070 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Automated data governance and metadata management with AI', 'max_results': 5}
2026-04-16 13:49:39.792 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Automated data governance and metadata management with AI', 'results_count': 4, 'duration_sec': 2.72}
2026-04-16 13:49:39.792 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'AI-powered data cataloging and discovery tools', 'max_results': 5}
2026-04-16 13:49:42.215 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'AI-powered data cataloging and discovery tools', 'results_count': 4, 'duration_sec': 2.42}
2026-04-16 13:49:42.215 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Real-time data processing and stream analytics using AI', 'max_results': 5}
2026-04-16 13:49:43.396 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Real-time data processing and stream analytics using AI', 'results_count': 4, 'duration_sec': 1.18}
2026-04-16 13:49:43.397 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Predictive analytics for data infrastructure and resource optimization', 'max_results': 5}
2026-04-16 13:49:46.105 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Predictive analytics for data infrastructure and resource optimization', 'results_count': 4, 'duration_sec': 2.71}
2026-04-16 13:49:46.105 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Emerging trends and future of AI in data engineering', 'max_results': 5}
2026-04-16 13:49:47.422 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Emerging trends and future of AI in data engineering', 'results_count': 4, 'duration_sec': 1.32}
2026-04-16 13:49:47.422 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Key challenges and best practices for implementing AI in data engineering', 'max_results': 5}
2026-04-16 13:49:48.925 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Key challenges and best practices for implementing AI in data engineering', 'results_count': 4, 'duration_sec': 1.5}
2026-04-16 13:49:48.925 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Case studies of successful AI implementations in data engineering', 'max_results': 5}
2026-04-16 13:49:50.184 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Case studies of successful AI implementations in data engineering', 'results_count': 4, 'duration_sec': 1.26}
2026-04-16 13:50:23.171 | SUCCESS  | __main__:<module>:192 - {'event': 'agent_execution_success', 'result': {'topic': 'AI in data engineering', 'need_to_research': True, 'mode': 'hybrid', 'reason': 'The field of AI in data engineering is rapidly evolving, with new tools, techniques, and best practices emerging frequently. Research is needed to cover current trends, popular tools, recent advancements, and practical applications.', 'queries': ['AI applications in data pipeline automation', 'Machine learning for data quality and anomaly detection in data engineering', 'Automated data governance and metadata management with AI', 'AI-powered data cataloging and discovery tools', 'Real-time data processing and stream analytics using AI', 'Predictive analytics for data infrastructure and resource optimization', 'Emerging trends and future of AI in data engineering', 'Key challenges and best practices for implementing AI in data engineering', 'Case studies of successful AI implementations in data engineering']}}
2026-04-16 13:55:44.139 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 13:55:45.180 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 13:56:22.830 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 13:56:23.843 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
